SN_name,Phase,MJD_OBS,MAG,eMAG,Passband,Instrument,Contributing_Group,Photometry_ref
SN1999ac,-10.886577513618585,51239.51,15.276,0.011,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-8.885586924221064,51241.53,14.864,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-7.934621099556252,51242.49,14.743,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-0.9707776126827156,51249.52,14.259,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,0.009905894008952221,51250.51,14.263,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,2.9915799900909343,51253.52,14.349,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,4.962852897476015,51255.51,14.47,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,12.89747399702506,51263.52,15.32,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,14.83902922239049,51265.48,15.574,0.01,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,27.69687964338695,51278.46,16.523,0.016,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,30.688459633485092,51281.48,16.692,0.016,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,34.62109955423188,51285.45,16.874,0.037,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,38.57355126300379,51289.44,17.084,0.038,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,42.526002971768484,51293.43,17.19,0.02,B(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-10.886577513618585,51239.51,15.279,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-8.885586924221064,51241.53,14.922,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-7.934621099556252,51242.49,14.778,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,-0.9707776126827156,51249.52,14.228,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,0.009905894008952221,51250.51,14.216,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,2.9915799900909343,51253.52,14.185,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,4.962852897476015,51255.51,14.225,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,12.89747399702506,51263.52,14.675,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,14.83902922239049,51265.48,14.828,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,27.69687964338695,51278.46,15.471,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,30.688459633485092,51281.48,15.666,0.01,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,34.62109955423188,51285.45,15.879,0.021,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,38.57355126300379,51289.44,16.127,0.014,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN1999ac,42.526002971768484,51293.43,16.268,0.012,V(kait2),kait2,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,-6.851388757825686,53326.33,15.62,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,-5.927385108999119,53327.27,15.492,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,-4.97389198201235,53328.24,15.381,0.025,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,-3.96141989871948,53329.27,15.316,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,-2.9980969456793103,53330.25,15.231,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,-2.03477399263914,53331.23,15.155,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,4.875593721492646,53338.26,15.289,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,5.888065804785516,53339.29,15.368,0.012,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,6.9103677141317865,53340.33,15.48,0.02,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,8.827183794151573,53342.28,15.634,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
SN2004fz,9.800336573237992,53343.27,15.745,0.01,B(kait3),kait3,BSNIP-LOSS_2013,2013MNRAS.433.2240G
