SN_name,RA_J2000,DEC_J2000,Subtype,Redshift,MJD_Bmax,Num_Spec,Subtype_ref,Redshift_ref,MJD_Bmax_ref
SN2012fr,53.39996,-36.12714,Ia-norm,0.005457,56242.6,74,2013ApJ...770...29C,Kaepora,2018ApJ...859...24C
SN2005cf,230.38421,-7.41319,Ia-norm,0.006461,53533.7,73,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2011fe,210.77421,54.27372,Ia-norm,0.000804,55813.78,68,2019ApJS..241...38S,Kaepora,2012ApJ...752L..26P
SN2002bo,154.52713,21.82825,Ia-norm,0.00424,52356.7,44,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2006X,185.72496,15.80919,Ia-norm,0.00524,53786.1,40,2019ApJS..241...38S,Kaepora,2012AJ....143..126B
SN1994D,188.51021,7.70131,Ia-norm,0.002058,49432.5,38,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2007le,354.70171,-6.52258,Ia-norm,0.006721,54398.7,36,2019ApJS..241...38S,Kaepora,2012AJ....143..126B
SN2003du,218.64917,59.33439,Ia-norm,0.006384,52766.1,35,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2004dt,30.55321,-0.09764,Ia-norm,0.01973,53239.8,32,2017AJ....154..211K,Kaepora,2012AJ....143..126B
SN2003cg,153.56654,3.46736,Ia-norm,0.00413,52729.4,32,2014ApJ...795..142G,Kaepora,2012AJ....143..126B
SN2001V,179.35388,25.2025,Ia-norm,0.015018,51972.8,27,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2007af,215.58763,-0.39378,Ia-norm,0.005464,54174.1,27,2019ApJS..241...38S,Kaepora,2012AJ....143..126B
SN2002er,257.8745,7.99578,Ia-norm,0.008569,52524.9,26,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2007co,275.765,29.89708,Ia-norm,0.026962,54264.6,25,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN1999by,140.46696,51.00183,Ia-91bg,0.002128,51309.2,25,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2013dy,334.57333,40.56933,Ia-norm,0.00389,56501.105,24,2019ApJS..241...38S,Kaepora,2015MNRAS.452.4307P
SN2005hk,6.96196,-1.19792,Iax,0.012993,53684.6,24,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN1999ac,241.81254,7.97233,Ia-norm,0.0095,51250.5,23,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SNF20080514-002,202.30342,11.27239,Ia-norm,0.02209528566592559,54611.7,23,2014ApJ...795..142G,Kaepora,2012AJ....143..126B
SN1999dq,38.49867,20.97511,Ia-99aa-like,0.014327,51436.0,21,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2001ep,74.25108,-4.76117,Ia-norm,0.013129,52199.6,21,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2002dj,198.25142,-19.51908,Ia-norm,0.009393,52450.6,21,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN1999aa,126.92513,21.48744,Ia-99aa-like,0.014443,51232.4,20,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2005am,139.05196,-16.30444,Ia-norm,0.007899,53435.3,20,2017AJ....154..211K,Kaepora,2012AJ....143..126B
SN2003fa,266.03217,40.881,Ia-99aa-like,0.040388,52806.2,20,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN1998bu,161.69179,11.83531,Ia-norm,0.002992,50952.7,20,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2011iv,54.71396,-35.59222,Ia-norm,0.0065,55906.1026,20,2020MNRAS.491.2902F,Kaepora,2018A&A...611A..58G
LSQ12gdj,358.6805,-25.6762,Ia-91T,0.03,56253.4,20,2014ApJ...795..142G,WISeREP,2013MNRAS.436..222M
SN2006lf,69.62287,44.03375,Ia-norm,0.013206,54045.0,19,2012MNRAS.425.1789S,Kaepora,2012AJ....143..126B
SN2010ko,83.206,-14.09608,Ia-norm,0.01,55545.297,19,2019MNRAS.490..578C,2014styd.confE.125B,https://edoc.ub.uni-muenchen.de/22595/1/Cikota_Aleksandar.pdf
